Results_Name,VSPAERO_History
Results_Timestamp,1786902353
Results_Date,8,16,2026
Results_Time,23,15,53
CMzo,-1.398202000000000068e-06,-1.416481000000000017e-06,-1.301883999999999960e-06,-1.351845999999999915e-06,-1.342688999999999987e-06,-1.343612000000000054e-06,-1.343583999999999916e-06,-1.343590999999999898e-06,-1.343784999999999959e-06,-1.343714999999999933e-06,-1.343713999999999905e-06,-1.343260999999999894e-06
CMztot,-1.398202000000000068e-06,5.173911099999999741e-05,2.785022500000000015e-04,2.812846499999999768e-04,2.698849979999999897e-04,2.695870989999999898e-04,2.697510910000000019e-04,2.698425459999999961e-04,2.689934810000000069e-04,2.699133009999999788e-04,2.699275189999999786e-04,2.698982639999999988e-04
CSi,0.000000000000000000e+00,7.500006600000000076e-05,6.969191180000000162e-04,7.046333630000000412e-04,6.739233750000000111e-04,6.741324830000000514e-04,6.746724839999999846e-04,6.750369350000000107e-04,6.753289200000000062e-04,6.752566129999999908e-04,6.752886289999999970e-04,6.752306829999999522e-04
CSiw,0.000000000000000000e+00,-1.535516339999999950e-04,4.489801079999999759e-04,4.584887749999999986e-04,4.293826640000000198e-04,4.310797249999999870e-04,4.320077439999999943e-04,4.325246149999999764e-04,4.326562200000000011e-04,4.327704930000000005e-04,4.328056420000000104e-04,4.326647620000000213e-04
CSo,0.000000000000000000e+00,-4.478999999999999939e-09,-4.518000000000000322e-09,-4.561000000000000276e-09,-4.505999999999999949e-09,-4.494999999999999884e-09,-4.491999999999999791e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09,-4.491000000000000311e-09
CStot,0.000000000000000000e+00,7.499558599999999907e-05,6.969145999999999631e-04,7.046288020000000514e-04,6.739188690000000185e-04,6.741279880000000148e-04,6.746679920000000445e-04,6.750324439999999581e-04,6.753244289999999535e-04,6.752521220000000466e-04,6.752841380000000528e-04,6.752261920000000080e-04
CSwtot,0.000000000000000000e+00,-1.535561129999999871e-04,4.489755909999999729e-04,4.584842150000000048e-04,4.293781590000000231e-04,4.310752300000000046e-04,4.320032519999999999e-04,4.325201239999999780e-04,4.326517290000000027e-04,4.327660029999999981e-04,4.328011510000000120e-04,4.326602710000000229e-04
E,0.000000000000000000e+00,6.035611941030000205e-01,6.348382149939999497e-01,6.108584915710000285e-01,6.117657516450000221e-01,6.120711280299999668e-01,6.121230861290000158e-01,6.121615233520000254e-01,6.133189995660000005e-01,6.140219991419999523e-01,6.133803657909999707e-01,6.139839163069999994e-01
Ew,0.000000000000000000e+00,7.849430821770000399e-01,8.062744159460000226e-01,7.711847903499999823e-01,7.708757062279999461e-01,7.709353363190000197e-01,7.708669502249999583e-01,7.708672175999999876e-01,7.708513810949999545e-01,7.708462637640000059e-01,7.708500585759999746e-01,7.708528890479999784e-01
FC_AoA_,-2.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.639999999999999858e+01
FC_Cref_,1.881000000000000005e+00
FC_Mach_,2.030000000000000138e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,6.980000000000000000e+06
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,3.000000340000000065e+01
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,3.750000000000000000e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,0.000000000000000000e+00,1.896749365234200013e+01,1.913444765715300022e+01,1.886759682369600100e+01,1.888029600054199975e+01,1.888690505397800123e+01,1.888802749972899875e+01,1.888859933920900147e+01,1.889559966811199843e+01,1.890014973778999874e+01,1.889598606510299916e+01,1.890050888502900150e+01
L/Dw,0.000000000000000000e+00,1.998072399279899969e+01,2.003567295223900047e+01,1.974907167143799924e+01,1.975578793324299909e+01,1.976143265077499933e+01,1.976204355835400150e+01,1.976241801052200131e+01,1.976172997658800057e+01,1.976169424752700010e+01,1.976171442173999893e+01,1.976243764322800089e+01
Mach,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.030000000000000138e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5,6,7,8,9,10,11,12
WallTime,3.399999999969999798e-01,8.909999999890000355e-01,1.437999999994999945e+00,2.008000000002000185e+00,2.553999999989000180e+00,3.067999999998999971e+00,3.611999999994000010e+00,4.095000000000999840e+00,4.630999999993999694e+00,5.092999999993000237e+00,5.578999999997999559e+00,6.235000000001000409e+00
log10( L2Residual ),6.719907415620000046e-01,-8.046837804190000165e-01,-4.753299140369999787e-01,-1.405379796028999984e+00,-2.061141171820000118e+00,-2.431036679208999907e+00,-2.533430312487999991e+00,-1.565844364147999990e+00,-2.586584519675999783e+00,-2.730079879182000013e+00,-1.403026176245000034e+00,-1.544249181342999933e+00
